time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-04T23:14:48.310Z,35.4701667,-118.0961667,2.79,0.9,ml,11,80,0.07549,0.17,ci,ci38932519,2019-11-04T23:18:19.891Z,"32km SW of Inyokern, CA",earthquake,0.41,0.71,0.146,12,automatic,ci,ci
2019-11-04T23:07:11.910Z,-31.8166,-71.5483,35,4,mb,,105,0.769,1.03,us,us70006363,2019-11-05T01:22:37.793Z,"41km WSW of Illapel, Chile",earthquake,3.2,2,0.3,3,reviewed,us,us
2019-11-04T23:05:12.580Z,33.6895,-116.6078333,-0.07,0.59,ml,14,147,0.1616,0.4,ci,ci38932511,2019-11-04T23:08:59.182Z,"12km ESE of Idyllwild, CA",earthquake,1.33,31.61,0.248,6,automatic,ci,ci
2019-11-04T23:00:05.090Z,19.2173,-67.2788,19,3.09,md,17,215,0.7683,0.64,pr,pr2019308011,2019-11-04T23:34:44.040Z,"63km N of San Antonio, Puerto Rico",earthquake,2.94,8.85,0.31,13,reviewed,pr,pr
2019-11-04T22:58:20.796Z,60.4152,-147.7483,9.4,1.4,ml,,,,0.26,ak,ak019e5qyvo9,2019-11-04T23:26:56.087Z,"64km SE of Whittier, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-11-04T22:55:11.229Z,59.6868,-152.543,250,2.5,ml,,,,0.46,ak,ak019e5qy8nm,2019-11-04T23:52:53.083Z,"41km WSW of Anchor Point, Alaska",earthquake,,8.5,,,automatic,ak,ak
2019-11-04T22:49:44.450Z,19.1583328,-155.4669952,35.15,2.15,md,42,105,0.00545,0.13,hv,hv71216381,2019-11-04T22:53:06.480Z,"5km SSE of Pahala, Hawaii",earthquake,0.54,0.8,0.04,5,automatic,hv,hv
2019-11-04T22:48:10.724Z,69.7849,-144.5402,22.8,2.2,ml,,,,0.82,ak,ak019e5qwqls,2019-11-04T22:57:59.088Z,"52km SW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-11-04T22:46:10.885Z,-18.655,-175.6966,10,5.5,mb,,89,5.479,0.82,us,us7000635n,2019-11-05T00:49:03.576Z,"180km W of Neiafu, Tonga",earthquake,9.6,1.8,0.072,67,reviewed,us,us
2019-11-04T22:43:32.668Z,-18.5737,-175.2486,13.37,6.6,mww,,53,5.064,0.91,us,us7000635e,2019-11-05T02:10:50.040Z,"133km W of Neiafu, Tonga",earthquake,8.5,4.4,0.098,10,reviewed,us,us
2019-11-04T22:42:33.800Z,35.707,-117.5861667,7.1,1.89,ml,28,62,0.08591,0.15,ci,ci38932471,2019-11-04T22:53:05.130Z,"12km NE of Ridgecrest, CA",earthquake,0.2,0.5,0.135,26,automatic,ci,ci
2019-11-04T22:41:40.430Z,18.7993,-67.2218,10,2.34,md,3,350,0.3498,0.28,pr,pr2019308013,2019-11-04T23:58:42.986Z,"36km NNW of San Antonio, Puerto Rico",earthquake,16.53,3.04,0.23,3,reviewed,pr,pr
2019-11-04T22:37:16.630Z,35.906,-117.691,2.15,1.25,ml,17,54,0.05325,0.14,ci,ci38932463,2019-11-04T22:40:56.612Z,"20km E of Little Lake, CA",earthquake,0.22,0.31,0.113,19,automatic,ci,ci
2019-11-04T22:15:43.640Z,36.0719986,-121.4766693,2.97,1.54,md,10,223,0.1976,0.03,nc,nc73300770,2019-11-05T00:33:04.059Z,"10km NE of Lopez Point, CA",earthquake,0.67,1.61,0.24,4,automatic,nc,nc
2019-11-04T21:56:25.453Z,37.5336,-118.075,0,1.4,ml,10,126.16,0.185,0.1497,nn,nn00709525,2019-11-05T02:07:51.862Z,"34km NE of Bishop, California",earthquake,,0,0.42,8,reviewed,nn,nn
2019-11-04T21:53:24.859Z,-31.8222,-71.3664,49.06,6,mww,,25,0.691,1.19,us,us70006345,2019-11-05T03:58:45.682Z,"28km SW of Illapel, Chile",earthquake,4.1,4,0.056,31,reviewed,us,us
2019-11-04T21:51:13.813Z,62.7014,-147.8015,20.4,2.6,ml,,,,0.85,ak,ak019e5qbyer,2019-11-05T01:14:39.040Z,"96km SE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-11-04T21:48:48.170Z,41.1296667,-74.036,2.44,1.59,ml,13,84,0.1573,0.22,ld,ld60180751,2019-11-04T23:48:22.040Z,"1km ESE of Hillcrest, New York",earthquake,0.49,0.85,0.187,11,reviewed,ld,ld
2019-11-04T21:48:47.720Z,19.1429996,-155.4588318,34.09,2.28,md,44,173,0.01273,0.14,hv,hv71216321,2019-11-04T21:51:52.150Z,"7km SSE of Pahala, Hawaii",earthquake,0.66,0.79,0.15,16,automatic,hv,hv
2019-11-04T21:45:02.284Z,63.2349,-148.9682,72.1,1.4,ml,,,,1.1,ak,ak019e5qan7q,2019-11-04T21:51:45.244Z,"17km S of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
